Year,Quarter,State,B,W
2015,4,KS,$365.58 ,$746.48 
2015,4,KY,$316.05 ,$749.31 
2015,4,LA,$213.75 ,$682.25 
2015,4,ME,$303.68 ,$647.31 
2015,4,MD,$333.05 ,$820.51 
2015,4,MA,$425.88 ,$997.51 
2015,4,MI,$303.84 ,$724.11 
2015,4,FL,$239.28 ,$675.55 
2016,1,DC,$302.83 ,$940.49 
2016,1,GA,$281.56 ,$745.25 
2016,1,HI,$443.85 ,$942.30 
2016,1,ID,$301.67 ,$658.23 
2016,1,IL,$305.96 ,$909.07 
2016,1,IN,$264.15 ,$785.98 
2016,1,IA,$351.92 ,$733.61 
2016,1,KS,$362.32 ,$741.72 
2016,1,KY,$316.17 ,$723.16 
2016,1,LA,$215.38 ,$707.41 
2016,1,ME,$308.71 ,$673.45 
2016,1,MD,$332.21 ,$814.89 
2016,1,MA,$428.88 ,"$1,018.28 "
2016,1,MI,$307.22 ,$714.33 
2016,1,FL,$241.14 ,$680.05 
2016,2,DC,$301.23 ,$930.34 
2016,2,FL,$241.63 ,$693.86 
2016,2,GA,$281.79 ,$743.78 
2016,2,HI,$444.68 ,$933.66 
2016,2,ID,$304.30 ,$666.11 
2016,2,IL,$308.58 ,$906.65 
2016,2,IN,$267.75 ,$785.00 
2016,2,IA,$356.63 ,$733.12 
2016,2,KS,$363.44 ,$739.45 
2016,2,KY,$320.57 ,$743.52 
2016,2,LA,$215.65 ,$710.08 
2016,2,ME,$312.03 ,$672.28 
2016,2,MD,$331.78 ,$817.56 
2016,2,MA,$438.83 ,"$1,042.89 "
2016,2,MI,$309.51 ,$717.45 
2016,3,DC,$301.13 ,$928.09 
2016,3,FL,$242.81 ,$698.47 
2016,3,GA,$283.16 ,$736.49 
2016,3,HI,$447.62 ,$925.52 
2016,3,ID,$307.32 ,$681.34 
2016,3,IL,$312.09 ,$912.63 
2016,3,IN,$271.03 ,$781.13 
2016,3,IA,$359.66 ,$744.74 
2016,3,KS,$366.12 ,$763.95 
2016,3,KY,$322.95 ,$757.92 
2016,3,LA,$216.79 ,$731.70 
2016,3,ME,$313.58 ,$676.86 
2016,3,MD,$330.38 ,$826.34 
2016,3,MA,$448.15 ,"$1,046.44 "
2016,3,MI,$310.91 ,$736.13 
2016,4,DC,$312.22 ,$964.76 
2016,4,FL,$243.85 ,$704.37 
2016,4,GA,$285.94 ,$775.73 
2016,4,HI,$458.10 ,$955.85 
2016,4,ID,$310.14 ,$709.62 
2016,4,IL,$314.91 ,$921.18 
2016,4,IN,$276.12 ,$804.69 
2016,4,IA,$362.17 ,$744.34 
2016,4,KS,$370.51 ,$783.63 
2016,4,KY,$325.99 ,$772.36 
2016,4,LA,$216.87 ,$737.16 
2016,4,ME,$316.92 ,$688.85 
2016,4,MD,$331.76 ,$806.08 
2016,4,MA,$460.19 ,"$1,078.73 "
2016,4,MI,$313.20 ,$735.40 
2017,1,DC,$322.85 ,$998.50 
2017,1,FL,$243.03 ,$713.52 
2017,1,GA,$288.28 ,$808.66 
2017,1,HI,$468.80 ,"$1,015.63 "
2017,1,ID,$315.38 ,$730.09 
2017,1,IL,$318.70 ,$928.89 
2017,1,IN,$277.66 ,$808.54 
2017,1,IA,$371.02 ,$751.31 
2017,1,KS,$377.52 ,$817.56 
2017,1,KY,$326.49 ,$779.01 
2017,1,LA,$216.18 ,$732.83 
2017,1,ME,$322.98 ,$698.09 
2017,1,MD,$333.32 ,$823.42 
2017,1,MA,$472.81 ,"$1,091.47 "
2017,1,MI,$315.60 ,$780.79 
2017,2,DC,$336.57 ,"$1,064.55 "
2017,2,FL,$243.91 ,$705.26 
2017,2,GA,$290.55 ,$822.48 
2017,2,HI,$483.95 ,"$1,051.03 "
2017,2,ID,$316.18 ,$725.19 
2017,2,IL,$324.39 ,$950.99 
2017,2,IN,$279.74 ,$820.21 
2017,2,IA,$373.55 ,$753.78 
2017,2,KS,$380.98 ,$845.32 
2017,2,KY,$325.87 ,$787.71 
2017,2,LA,$216.96 ,$727.79 
2017,2,ME,$328.71 ,$711.24 
2017,2,MD,$337.69 ,$843.29 
2017,2,MA,$478.84 ,"$1,115.66 "
2017,2,MI,$317.23 ,$782.81 
2017,3,DC,$349.31 ,"$1,101.69 "
2017,3,FL,$244.97 ,$710.68 
2017,3,GA,$291.91 ,$832.64 
2017,3,HI,$494.38 ,"$1,091.56 "
2017,3,ID,$316.80 ,$733.56 
2017,3,IL,$329.18 ,$971.22 
2017,3,IN,$283.15 ,$835.38 
2017,3,IA,$375.92 ,$774.77 
2017,3,KS,$382.36 ,$849.62 
2017,3,KY,$328.91 ,$787.30 
2017,3,LA,$216.29 ,$710.65 
2017,3,ME,$330.55 ,$723.55 
2017,3,MD,$341.29 ,$862.15 
2017,3,MA,$481.43 ,"$1,144.40 "
2017,3,MI,$318.75 ,$785.14 
2017,4,DC,$353.45 ,"$1,106.95 "
2017,4,FL,$246.11 ,$707.90 
2017,4,GA,$292.64 ,$814.64 
2017,4,HI,$496.49 ,"$1,112.50 "
2017,4,ID,$317.92 ,$715.03 
2017,4,IL,$332.88 ,$980.14 
2017,4,IN,$283.64 ,$829.31 
2017,4,IA,$380.12 ,$788.94 
2017,4,KS,$384.01 ,$866.26 
2017,4,KY,$331.10 ,$789.21 
2017,4,LA,$215.65 ,$711.82 
2017,4,ME,$331.81 ,$714.60 
2017,4,MD,$344.54 ,$859.36 
2017,4,MA,$486.66 ,"$1,173.08 "
2017,4,MI,$319.20 ,$796.67 
2018,1,DC,$356.78 ,"$1,106.49 "
2018,1,FL,$247.59 ,$707.82 
2018,1,GA,$293.01 ,$833.95 
2018,1,HI,$498.23 ,"$1,079.88 "
2018,1,ID,$317.59 ,$708.25 
2018,1,IL,$333.84 ,$980.61 
2018,1,IN,$290.73 ,$862.00 
2018,1,IA,$379.34 ,$791.48 
2018,1,KS,$384.05 ,$861.91 
2018,1,KY,$339.93 ,$794.49 
2018,1,LA,$214.75 ,$695.53 
2018,1,ME,$334.44 ,$718.50 
2018,1,MD,$347.05 ,$852.32 
2018,1,MA,$489.25 ,"$1,222.74 "
2018,1,MI,$319.81 ,$760.08 
2018,2,DC,$358.59 ,"$1,114.96 "
2018,2,FL,$247.89 ,$733.46 
2018,2,GA,$292.56 ,$802.29 
2018,2,HI,$500.34 ,"$1,082.53 "
2018,2,ID,$318.97 ,$723.24 
2018,2,IL,$333.50 ,"$1,000.48 "
2018,2,IN,$293.45 ,$872.21 
2018,2,IA,$379.79 ,$790.21 
2018,2,KS,$381.22 ,$844.75 
2018,2,KY,$348.49 ,$788.14 
2018,2,LA,$212.32 ,$693.00 
2018,2,ME,$334.54 ,$722.86 
2018,2,MD,$348.00 ,$858.92 
2018,2,MA,$491.37 ,"$1,219.72 "
2018,2,MI,$318.68 ,$757.15 
2018,3,DC,$359.01 ,"$1,107.61 "
2018,3,FL,$248.23 ,$741.03 
2018,3,GA,$292.01 ,$830.05 
2018,3,HI,$505.24 ,"$1,076.31 "
2018,3,ID,$318.99 ,$716.10 
2018,3,IL,$333.15 ,"$1,010.66 "
2018,3,IN,$294.00 ,$859.04 
2018,3,IA,$381.26 ,$781.51 
2018,3,KS,$381.77 ,$843.36 
2018,3,KY,$354.04 ,$793.28 
2018,3,LA,$212.94 ,$682.55 
2018,3,ME,$337.51 ,$732.42 
2018,3,MD,$350.72 ,$847.68 
2018,3,MA,$499.88 ,"$1,220.47 "
2018,3,MI,$319.28 ,$765.27 
2018,4,DC,$360.63 ,"$1,111.17 "
2018,4,FL,$249.03 ,$788.83 
2018,4,GA,$291.95 ,$839.47 
2018,4,HI,$514.48 ,"$1,115.82 "
2018,4,ID,$322.09 ,$725.42 
2018,4,IL,$335.93 ,"$1,005.29 "
2018,4,IN,$296.67 ,$877.83 
2018,4,IA,$381.41 ,$769.76 
2018,4,KS,$380.00 ,$842.64 
2018,4,KY,$358.17 ,$800.23 
2018,4,LA,$212.76 ,$688.80 
2018,4,ME,$341.45 ,$759.03 
2018,4,MD,$352.23 ,$859.30 
2018,4,MA,$502.06 ,"$1,188.12 "
2018,4,MI,$320.77 ,$775.36 
2019,1,DC,$361.67 ,"$1,130.48 "
2019,1,FL,$249.44 ,$814.24 
2019,1,GA,$293.62 ,$808.80 
2019,1,HI,$526.95 ,"$1,155.73 "
2019,1,ID,$331.04 ,$734.76 
2019,1,IL,$341.95 ,"$1,021.79 "
2019,1,IN,$300.79 ,$881.85 
2019,1,IA,$388.05 ,$786.51 
2019,1,KS,$383.31 ,$860.48 
2019,1,KY,$363.14 ,$822.60 
2019,1,LA,$212.76 ,$721.81 
2019,1,ME,$346.82 ,$727.96 
2019,1,MD,$355.67 ,$892.61 
2019,1,MA,$513.20 ,"$1,161.91 "
2019,1,MI,$324.03 ,$828.81 
2019,2,DC,$359.15 ,"$1,097.93 "
2019,2,FL,$250.40 ,$816.39 
2019,2,GA,$295.68 ,$838.81 
2019,2,HI,$529.22 ,"$1,152.21 "
2019,2,ID,$335.97 ,$739.40 
2019,2,IL,$344.17 ,"$1,054.85 "
2019,2,IN,$301.14 ,$895.60 
2019,2,IA,$388.82 ,$802.03 
2019,2,KS,$385.59 ,$882.31 
2019,2,KY,$365.26 ,$816.62 
2019,2,LA,$214.18 ,$727.37 
2019,2,ME,$349.16 ,$741.61 
2019,2,MD,$356.44 ,$881.97 
2019,2,MA,$517.38 ,"$1,177.54 "
2019,2,MI,$326.53 ,$870.04 
2019,3,DC,$358.80 ,"$1,104.92 "
2019,3,FL,$251.30 ,$821.44 
2019,3,GA,$298.12 ,$897.91 
2019,3,HI,$532.20 ,"$1,175.04 "
2019,3,ID,$338.41 ,$739.73 
2019,3,IL,$346.92 ,"$1,043.16 "
2019,3,IN,$300.51 ,$920.25 
2019,3,IA,$390.41 ,$804.41 
2019,3,KS,$387.12 ,$890.44 
2019,3,KY,$366.57 ,$817.87 
2019,3,LA,$214.14 ,$740.25 
2019,3,ME,$349.55 ,$740.15 
2019,3,MD,$355.47 ,$889.05 
2019,3,MA,$518.18 ,"$1,199.68 "
2019,3,MI,$327.83 ,$862.47 
2019,4,DC,$358.73 ,"$1,114.70 "
2019,4,FL,$251.62 ,$809.71 
2019,4,GA,$304.36 ,$908.85 
2019,4,HI,$535.50 ,"$1,149.85 "
2019,4,ID,$340.65 ,$736.51 
2019,4,IL,$351.06 ,"$1,076.04 "
2019,4,IN,$300.59 ,$905.65 
2019,4,IA,$395.06 ,$819.09 
2019,4,KS,$390.08 ,$886.45 
2019,4,KY,$375.29 ,$835.71 
2019,4,LA,$215.99 ,$748.80 
2019,4,ME,$351.75 ,$735.97 
2019,4,MD,$356.79 ,$892.13 
2019,4,MA,$523.40 ,"$1,202.91 "
2019,4,MI,$328.19 ,$858.57 
2020,1,DC,$360.36 ,"$1,068.09 "
2020,1,FL,$252.34 ,$807.84 
2020,1,GA,$310.30 ,$930.85 
2020,1,HI,$535.81 ,"$1,174.94 "
2020,1,ID,$350.85 ,$751.20 
2020,1,IL,$355.79 ,"$1,081.80 "
2020,1,IN,$303.79 ,$934.60 
2020,1,IA,$396.54 ,$819.56 
2020,1,KS,$392.25 ,$898.10 
2020,1,KY,$387.99 ,$835.89 
2020,1,LA,$217.30 ,$740.20 
2020,1,ME,$357.60 ,$763.16 
2020,1,MD,$357.85 ,$891.12 
2020,1,MA,$523.40 ,"$1,216.44 "
2020,1,MI,$329.45 ,$882.64 
2020,2,DC,$361.37 ,"$1,068.32 "
2020,2,FL,$252.22 ,$797.98 
2020,2,GA,$313.38 ,$944.80 
2020,2,HI,$539.11 ,"$1,196.83 "
2020,2,ID,$352.17 ,$747.35 
2020,2,IL,$358.42 ,"$1,046.70 "
2020,2,IN,$305.94 ,$939.52 
2020,2,IA,$399.38 ,$828.57 
2020,2,KS,$395.61 ,$892.73 
2020,2,KY,$392.43 ,$854.66 
2020,2,LA,$217.65 ,$741.72 
2020,2,ME,$359.24 ,$770.56 
2020,2,MD,$356.67 ,$895.93 
2020,2,MA,$525.04 ,"$1,207.28 "
2020,2,MI,$329.96 ,$857.75 
2020,3,DC,$348.15 ,$898.44 
2020,3,FL,$236.54 ,$688.48 
2020,3,GA,$265.09 ,$649.55 
2020,3,HI,$457.55 ,$865.07 
2020,3,ID,$319.24 ,$682.76 
2020,3,IL,$304.49 ,$850.04 
2020,3,IN,$239.35 ,$734.38 
2020,3,IA,$352.28 ,$754.48 
2020,3,KS,$359.00 ,$836.46 
2020,3,KY,$318.81 ,$747.15 
2020,3,LA,$190.31 ,$891.91 
2020,3,ME,$321.07 ,$724.69 
2020,3,MD,$325.38 ,$724.91 
2020,3,MA,$408.10 ,$942.07 
2020,3,MI,$309.42 ,$852.36 
2020,4,DC,$347.41 ,$884.98 
2020,4,FL,$234.59 ,$683.90 
2020,4,GA,$262.09 ,$657.13 
2020,4,HI,$451.63 ,$815.81 
2020,4,ID,$320.87 ,$701.78 
2020,4,IL,$301.93 ,$881.06 
2020,4,IN,$233.81 ,$716.85 
2020,4,IA,$349.77 ,$744.34 
2020,4,KS,$371.91 ,$879.73 
2020,4,KY,$310.73 ,$737.57 
2020,4,LA,$187.58 ,$811.24 
2020,4,ME,$322.52 ,$734.11 
2020,4,MD,$319.96 ,$722.50 
2020,4,MA,$408.91 ,$945.26 
2020,4,MI,$307.50 ,$841.71 
2021,1,DC,$349.67 ,$915.40 
2021,1,FL,$234.59 ,$693.51 
2021,1,GA,$262.59 ,$653.04 
2021,1,HI,$451.41 ,$820.66 
2021,1,ID,$321.22 ,$718.79 
2021,1,IL,$302.83 ,$881.34 
2021,1,IN,$232.54 ,$716.21 
2021,1,IA,$337.92 ,$740.06 
2021,1,KS,$391.76 ,$964.85 
2021,1,KY,$308.45 ,$731.31 
2021,1,LA,$187.29 ,$799.72 
2021,1,ME,$326.03 ,$732.87 
2021,1,MD,$318.41 ,$738.79 
2021,1,MA,$412.87 ,$958.25 
2021,1,MI,$305.43 ,$817.83 
2021,2,DC,$351.02 ,$942.25 
2021,2,FL,$234.58 ,$700.26 
2021,2,GA,$264.02 ,$657.83 
2021,2,HI,$454.31 ,$835.90 
2021,2,ID,$325.00 ,$729.53 
2021,2,IL,$304.86 ,$888.79 
2021,2,IN,$235.59 ,$724.92 
2021,2,IA,$340.94 ,$745.56 
2021,2,KS,$392.61 ,$963.37 
2021,2,KY,$316.96 ,$741.87 
2021,2,LA,$186.40 ,$784.39 
2021,2,ME,$329.35 ,$736.36 
2021,2,MD,$318.94 ,$755.25 
2021,2,MA,$420.15 ,$980.60 
2021,2,MI,$307.24 ,$823.26 
2021,3,DC,$357.94 ,"$1,034.94 "
2021,3,FL,$235.65 ,$733.68 
2021,3,GA,$271.34 ,$697.36 
2021,3,HI,$465.54 ,$863.67 
2021,3,ID,$348.30 ,$792.31 
2021,3,IL,$320.28 ,$971.58 
2021,3,IN,$249.85 ,$780.01 
2021,3,IA,$375.31 ,$797.94 
2021,3,KS,$417.20 ,"$1,033.54 "
2021,3,KY,$362.10 ,$804.46 
2021,3,LA,$184.24 ,$607.80 
2021,3,ME,$355.64 ,$769.00 
2021,3,MD,$326.97 ,$857.65 
2021,3,MA,$465.97 ,"$1,099.91 "
2021,3,MI,$311.69 ,$795.16 
2021,4,DC,$367.25 ,"$1,152.35 "
2021,4,FL,$239.22 ,$773.36 
2021,4,GA,$285.82 ,$718.47 
2021,4,HI,$489.95 ,"$1,031.37 "
2021,4,ID,$354.05 ,$804.13 
2021,4,IL,$325.66 ,$952.84 
2021,4,IN,$261.78 ,$841.70 
2021,4,IA,$399.22 ,$885.54 
2021,4,KS,$444.72 ,"$1,121.78 "
2021,4,KY,$399.35 ,$843.65 
2021,4,LA,$186.93 ,$649.41 
2021,4,ME,$361.22 ,$770.03 
2021,4,MD,$335.63 ,$901.69 
2021,4,MA,$483.53 ,"$1,160.72 "
2021,4,MI,$316.87 ,$805.09 
2016,1,MN,$416.60 ,$900.83 
2016,1,MS,$204.06 ,$577.94 
2016,1,MO,$251.74 ,$673.34 
2016,1,MT,$330.29 ,$743.55 
2016,1,NE,$305.54 ,$681.44 
2016,1,NV,$326.08 ,$740.90 
2016,1,NH,$305.79 ,$879.10 
